default,revolving_utilization,age,times_30_59_days_late,debt_ratio,monthly_income,num_open_credit_lines,times_90_plus_days_late,num_real_estate_loans,times_60_89_days_late,num_dependents
0,0.1952,50,2,0.0172,2856,9,0,0,1,0
0,0.4258,43,0,1.2757,3849,4,0,1,0,2
0,0.4243,52,0,0.4829,3047,9,0,0,0,2
0,0.1881,63,0,0.6093,5368,6,0,1,0,0
0,0.1142,42,0,0.3555,12806,10,0,1,0,0
1,0.1647,42,3,0.0618,2652,11,0,5,0,1
0,0.4213,63,0,0.0095,10945,8,0,1,0,0
0,0.2869,54,0,0.6,2629,14,0,2,0,0
0,0.3819,39,0,0.1514,2494,8,0,0,0,5
0,0.2538,51,0,0.0919,9460,11,0,3,0,3
1,0.4474,39,0,0.2474,10275,7,0,1,1,0
0,0.0953,39,0,0.1639,9712,7,0,1,0,1
0,0.1925,47,0,0.3164,1715,8,0,1,0,2
0,0.3597,22,0,0.1984,3385,6,0,2,0,0
0,0.2932,24,0,0.3584,9493,4,0,0,0,2
0,0.1639,38,0,0.5761,5080,12,0,0,0,0
0,0.2024,32,0,0.0653,2081,9,0,1,0,1
0,0.1247,48,0,0.1199,7091,5,0,1,0,1
0,0.5397,34,0,0.1722,2774,9,0,1,0,1
1,0.0836,28,0,0.9815,20653,7,0,2,0,0
0,0.2267,62,0,0.1364,16913,6,0,1,0,0
1,0.454,42,0,0.1439,7968,7,0,1,0,0
0,0.155,45,0,0.3179,14600,8,0,2,0,1
0,0.3116,27,1,0.163,5176,10,1,0,1,0
0,0.3789,38,0,0.9062,9066,10,0,1,0,1
0,0.1932,46,0,0.6746,16029,7,0,1,0,0
0,0.0369,31,1,0.2161,5981,7,0,0,0,0
0,0.1953,49,0,0.3105,4007,4,0,1,0,1
0,0.1922,37,1,0.0179,1256,7,1,1,1,1
0,0.3504,41,0,0.357,4598,4,0,0,0,1
0,0.2425,37,0,0.3685,9497,10,0,1,0,0
0,0.4208,67,0,0.1335,10472,9,0,1,0,0
0,0.2098,44,0,0.0744,7357,7,0,1,0,0
0,0.6637,32,1,0.7398,3187,10,0,2,0,0
0,0.483,54,0,0.1669,1010,4,0,0,0,2
0,0.0901,30,0,0.3181,3307,8,0,1,0,0
1,0.535,47,0,0.0102,3852,8,0,3,0,1
0,0.1966,21,1,0.1604,3826,5,0,1,0,0
0,0.079,29,0,0.5099,8061,7,0,0,0,0
0,0.1537,47,0,0.1471,24065,9,0,1,0,1
0,0.3611,53,0,0.2773,5425,6,0,0,0,0
1,0.0302,47,0,0.0707,4132,12,0,2,0,1
0,0.1401,43,0,0.1616,3994,10,0,1,0,3
0,0.2643,41,0,0.7878,5428,11,0,2,0,3
0,0.2762,27,0,0.2507,2533,7,0,1,0,1
0,0.2719,36,0,0.6966,5410,7,0,0,0,2
0,0.2658,39,0,0.6969,7049,7,0,2,0,2
0,0.6072,57,0,0.8655,5812,9,0,1,0,2
0,0.3726,49,0,0.6773,7087,5,1,1,1,0
0,0.0683,23,0,0.001,6953,8,1,0,1,0
0,0.3259,48,0,0.8155,1190,9,0,0,0,0
0,0.4913,40,0,0.0444,8180,2,0,2,0,1
0,0.183,36,1,0.0122,2873,8,0,2,0,1
0,0.3969,52,1,0.0171,2045,4,0,1,0,0
0,0.6027,57,0,0.1287,2031,16,0,2,1,1
1,0.808,56,1,0.2909,6952,6,0,0,1,2
0,0.3984,34,0,0.1544,4113,13,0,0,0,0
0,0.3097,41,0,0.0078,1279,7,0,1,0,0
0,0.2694,48,1,0.1942,7204,6,0,1,1,0
0,0.2574,56,1,0.1751,1553,6,1,2,1,0
0,0.0874,39,0,0.4242,5496,2,0,0,0,0
1,0.7088,42,0,0.0984,5947,9,0,1,0,1
0,0.3015,31,0,0.0736,9981,5,0,0,0,1
0,0.4011,30,0,0.0887,20442,4,0,0,0,0
0,0.4945,54,0,0.1086,1649,6,0,1,0,2
0,0.4014,61,0,0.2743,4712,9,0,1,0,0
1,0.1954,44,0,0.1913,3939,4,0,1,0,0
0,0.6052,57,1,0.1232,6953,5,0,2,0,0
0,0.2612,49,0,0.1407,5840,7,0,0,0,1
0,0.2616,37,0,0.1391,3706,6,0,1,0,1
0,0.4643,49,0,1.0771,3453,6,0,0,0,1
0,0.4674,63,2,0.0796,2011,17,1,1,1,0
0,0.0872,44,0,0.5112,10832,6,0,2,0,1
0,0.2361,63,0,0.3695,7096,13,0,0,0,1
0,0.4829,21,0,0.0017,10241,6,0,1,0,0
0,0.3726,54,0,1.4962,3834,8,0,0,0,1
0,0.1816,46,0,0.4237,2905,10,0,3,0,1
0,0.3208,41,0,0.3441,2074,6,0,0,0,0
0,0.096,46,0,0.1559,6549,12,0,1,0,1
0,0.2468,21,0,0.243,2139,9,0,1,0,1
0,0.3942,42,0,0.0876,21567,8,0,1,0,1
0,0.2023,49,0,0.0108,1726,1,1,1,1,1
0,0.5936,62,0,0.5424,6117,6,0,0,0,1
0,0.186,38,0,0.6804,17214,2,0,1,0,0
0,0.0463,35,0,0.0532,7936,12,1,2,1,1
0,0.222,38,0,0.464,5656,10,0,0,0,0
0,0.0338,55,0,0.4055,2264,8,0,2,0,1
0,0.366,48,0,0.0589,1627,10,0,0,0,0
0,0.2731,38,0,0.1644,9100,5,0,0,0,1
0,0.4777,51,0,0.1648,16398,9,0,0,0,1
0,0.2511,46,0,0.4281,3459,10,0,1,0,0
0,0.3528,56,2,0.5454,1975,8,1,0,1,0
0,0.3327,36,1,0.0299,1000,16,0,2,0,1
0,0.0561,41,1,0.2483,2242,6,0,0,0,0
0,0.3741,40,0,0.4303,4487,9,0,0,0,2
0,0.175,27,0,0.4628,17664,8,0,2,0,2
0,0.2996,48,0,0.048,8421,11,0,0,0,1
0,0.1002,48,0,0.2237,6273,7,0,0,0,0
0,0.434,45,0,0.5846,3568,11,0,1,0,1
0,0.3599,42,0,0.115,3082,15,0,0,0,0
0,0.1821,28,0,0.1661,15131,11,0,1,0,1
0,0.6101,39,1,0.4894,5770,5,0,0,0,1
0,0.3684,40,0,0.0281,1000,8,0,0,0,0
0,0.3757,35,1,0.5888,2867,9,0,0,0,0
0,0.2178,43,0,0.1118,2473,6,0,3,0,1
0,0.0686,49,0,0.0004,3174,8,0,2,0,2
0,0.2213,67,0,0.08,7710,12,0,2,0,1
0,0.1109,47,0,0.0281,4509,5,0,0,0,0
0,0.4492,48,0,0.0291,4621,5,0,1,0,0
1,0.0794,44,2,0.3541,14055,6,1,1,2,0
0,0.2453,21,0,0.0722,2815,9,0,1,0,0
0,0.5317,44,1,0.8188,21836,8,1,1,1,0
0,0.1764,45,0,0.218,2872,8,0,0,0,0
0,0.359,74,0,0.1849,5278,6,0,0,0,0
0,0.1594,42,0,0.1709,3924,11,0,1,0,0
0,0.1911,48,0,0.3539,5424,4,0,1,0,1
0,0.2745,44,1,0.1806,7014,8,1,1,1,0
0,0.1724,30,0,0.0413,6953,6,0,1,0,0
0,0.1098,58,0,0.6365,2690,6,0,1,1,0
0,0.1476,54,0,0.1678,2001,11,0,0,0,1
0,0.1866,54,0,0.0231,36407,3,0,0,0,0
0,0.2612,34,0,0.2261,3336,10,1,0,0,1
0,0.4294,61,0,0.3127,8598,9,0,1,0,1
0,0.0476,28,1,0.0967,1358,4,0,1,0,1
0,0.6002,52,1,0.4833,3929,13,0,0,1,2
0,0.2311,71,0,0.3324,4439,7,0,2,0,0
0,0.1582,33,0,0.3152,7174,11,0,0,0,0
0,0.2033,38,0,0.1638,1000,6,0,1,0,2
0,0.5975,46,2,0.9804,5613,9,0,0,1,0
0,0.2295,38,0,0.0961,1959,5,0,1,0,0
0,0.2576,26,0,0.2586,6370,6,0,1,0,1
0,0.0554,45,0,0.1109,2145,7,0,2,0,0
0,0.1528,32,0,0.4097,2479,5,0,4,0,0
1,0.047,50,5,0.0147,3948,11,2,0,3,1
0,0.3621,33,0,0.0141,2117,6,0,0,0,0
0,0.4083,63,0,0.4996,3359,9,0,2,0,0
0,0.2956,35,0,0.1709,1891,10,0,2,0,1
0,0.2103,41,0,0.1252,1133,9,0,0,0,0
0,0.1017,54,0,0.2806,11096,11,0,0,0,1
0,0.0942,30,0,0.3631,1742,10,0,2,0,0
1,0.1856,47,2,0.0674,4260,8,0,1,0,0
1,0.7225,60,2,0.0615,8976,15,0,1,1,1
0,0.2389,25,0,0.9521,3005,3,0,3,0,0
0,0.5918,47,0,0.2672,2539,8,0,2,0,0
0,0.3492,48,0,0.1483,5889,7,0,1,0,0
0,0.2711,54,1,0.485,12020,6,1,0,1,0
0,0.5782,30,0,0.2234,1928,4,0,1,0,2
0,0.2776,29,3,0.083,4358,8,0,1,0,0
